player_id,player_name,team,transfer_value
1181,Ramón Sosa,Nott'ham Forest,€13.5M
1182,Tomáš Souček,West Ham,€13.5M
1183,Boubakary Soumaré,Leicester City,€15.3M
1184,Djed Spence,Tottenham,€19.2M
1185,Jason Steele,Brighton,€1.5M
1186,Jack Stephens,Southampton,€1.2M
1187,Raheem Sterling,Arsenal,€17.5M
1188,Ross Stewart,Southampton,€50K
1189,Jakub Stolarczyk,Leicester City,€1.3M
1190,John Stones,Manchester City,€30.4M
1191,Jørgen Strand Larsen,Wolves,€30.3M
1192,Yukinari Sugawara,Southampton,€4.1M
1193,Kamaldeen Sulemana,Southampton,€17M
1194,Crysencio Summerville,West Ham,€25.7M
1195,Sammie Szmodics,Ipswich Town,€5.9M
1196,Dominik Szoboszlai,Liverpool,€70.5M
1197,James Tarkowski,Everton,€15.5M
1198,Marcus Tavernier,Bournemouth,€21.3M
1199,Charlie Taylor,Southampton,€2.1M
1200,Jack Taylor,Ipswich Town,€2.3M
1201,Mathys Tel,Tottenham,€51.4M
1202,Kenny Tete,Fulham,€16.4M
1203,Thiago,Brentford,€0.2M
1204,Luke Thomas,Leicester City,€0.4M
1205,Youri Tielemans,Aston Villa,€43.3M
1206,Kieran Tierney,Arsenal,€7.1M
1207,Jurriën Timber,Arsenal,€68.1M
1208,Jean-Clair Todibo,West Ham,N/a
1209,Harry Toffolo,Nott'ham Forest,€2.3M
1210,Sandro Tonali,Newcastle Utd,€52.1M
1211,Pau Torres,Aston Villa,€62.6K
1212,Conor Townsend,Ipswich Town,€1.2M
1213,Adama Traoré,Fulham,€6.6M
1214,Mark Travers,Bournemouth,€5.3M
1215,Kieran Trippier,Newcastle Utd,€4.5M
1216,Leandro Trossard,Arsenal,€31.8M
1217,Kostas Tsimikas,Liverpool,€23.6M
1218,Axel Tuanzebe,Ipswich Town,€3.6M
1219,Destiny Udogie,Tottenham,€59.4M
1220,Manuel Ugarte,Manchester Utd,€52.6M
1221,Lesley Ugochukwu,Southampton,€27.1M
1222,Enes Ünal,Bournemouth,€12M
1223,Hákon Valdimarsson,Brentford,€2.4M
1224,Virgil van Dijk,Liverpool,€10.7M
1225,Jamie Vardy,Leicester City,€1.1M
1226,Renato Veiga,Chelsea,€21.3M
1227,Joël Veltman,Brighton,€2.3M
1228,Micky van de Ven,Tottenham,€62M
1229,Bart Verbruggen,Brighton,€32M
1230,Jannik Vestergaard,Leicester City,€1.8M
1231,Guglielmo Vicario,Tottenham,€39.2M
1232,Kyle Walker,Manchester City,€4.9M
1233,Kyle Walker-Peters,Southampton,€16.6M
1234,Christian Walton,Ipswich Town,€0.6M
1235,Aaron Wan-Bissaka,West Ham,€29.7M
1236,Danny Ward,Leicester City,€0.2M
1237,James Ward-Prowse,West Ham,€7.6M
1238,James Ward-Prowse,Nott'ham Forest,€7.6M
1239,Ollie Watkins,Aston Villa,€63.2M
1240,Adam Webster,Brighton,€12.2M
1241,Danny Welbeck,Brighton,€5.9M
1242,Welington,Southampton,€2M
1243,Timo Werner,Tottenham,€3.6M
1244,Adam Wharton,Crystal Palace,€62.1M
1245,Ben White,Arsenal,€59.9M
1246,Mats Wieffer,Brighton,€16.8M
1247,Neco Williams,Nott'ham Forest,€28.1M
1248,Willian,Fulham,€0.9M
1249,Joe Willock,Newcastle Utd,€17.8M
1250,Callum Wilson,Newcastle Utd,€7.3M
1251,Harry Wilson,Fulham,€14.6M
1252,Harry Winks,Leicester City,€4M
1253,Yoane Wissa,Brentford,€28.8M
1254,Chris Wood,Nott'ham Forest,€7.9M
1255,Nathan Wood-Gordon,Southampton,€1.9M
1256,Luke Woolfenden,Ipswich Town,€1.8M
1257,Yehor Yarmoliuk,Brentford,€30M
1258,Ryan Yates,Nott'ham Forest,€14.4M
1259,Leny Yoro,Manchester Utd,€65.5M
1260,Ashley Young,Everton,€1.3M
1261,Illia Zabarnyi,Bournemouth,€55.1M
1262,Oleksandr Zinchenko,Arsenal,€19.8M
1263,Joshua Zirkzee,Manchester Utd,€36.1M
1264,Martin Ødegaard,Arsenal,€125.8M
