Name,Nation,Team,Position,Age,Matches_Played,Starts,Minutes,Goals,Assists,Yellow_Cards,Red_Cards,xG,xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_Per90,Assists_Per90,xG_Per90,xAG_Per90,GA90,Save_Pct,CS_Pct,PK_Save_Pct,SoT_Pct,SoT_Per90,Goals_Per_Shot,Avg_Shot_Distance,Passes_Completed,Pass_Completion_Pct,Progressive_Passing_Distance,Short_Pass_Pct,Medium_Pass_Pct,Long_Pass_Pct,Key_Passes,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crosses_Into_Penalty_Area,SCA,SCA90,GCA,GCA90,Tackles,Tackles_Won,Challenges,Challenges_Lost,Blocks,Blocked_Shots,Blocked_Passes,Interceptions,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Pct,Take_Ons_Tackled_Pct,Carries,Progressive_Carries_Distance,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Fouls_Committed,Fouls_Drawn,Offsides,Crosses,Ball_Recoveries,Aerials_Won,Aerials_Lost,Aerials_Won_Pct,transfer_value,Cluster
Raúl Jiménez,mx MEX,Fulham,FW,33,38,30,2494,12,3,4,0,12.0,3.3,35,62,125,0.43,0.11,0.43,0.12,N/a,N/a,N/a,N/a,32.3,1.08,0.10,14.5,458,71.2,1618,81.3,73.4,60.0,24,41,14,3,66,2.38,7,0.25,35,24,22,14,21,5,16,10,999,35,120,431,464,165,50,42.0,52.0,549,1112,24,17,74,45,734,39,41,15,23,80,91,99,47.9,€4.6M,2
João Pedro,br BRA,Brighton,FWMF,22,27,23,1948,10,6,4,1,8.9,5.0,66,78,128,0.46,0.28,0.41,0.23,N/a,N/a,N/a,N/a,35.7,0.69,0.12,17.2,482,72.9,1766,78.7,75.1,65.9,30,42,36,5,72,3.32,9,0.42,16,12,11,7,12,0,12,9,940,12,60,387,508,122,86,33.7,54.7,616,1821,39,30,72,38,732,26,46,2,22,59,41,43,48.8,€61.3M,2
Brennan Johnson,wls WAL,Tottenham,FW,23,33,24,2177,11,3,5,0,10.4,2.3,60,71,197,0.45,0.12,0.43,0.09,N/a,N/a,N/a,N/a,37.0,0.83,0.20,11.4,449,70.4,1611,80.4,75.4,32.4,19,25,35,6,46,1.9,7,0.29,39,26,34,18,25,3,22,4,853,18,98,292,475,125,44,43.2,50.0,544,1460,23,35,26,17,626,27,26,12,53,63,7,20,25.9,€49.4M,2
Justin Kluivert,nl NED,Bournemouth,MF,25,34,29,2340,12,6,8,0,10.3,4.8,81,105,173,0.46,0.23,0.4,0.19,N/a,N/a,N/a,N/a,40.4,0.88,0.11,20.0,582,74.4,2330,84.3,76.2,51.7,45,45,35,6,101,3.88,12,0.46,23,11,22,18,24,0,24,14,1086,24,99,366,641,134,87,41.4,46.0,646,2364,55,38,55,27,710,47,33,5,85,78,8,28,22.2,€44.3M,2
Mohammed Kudus,gh GHA,West Ham,FWMF,23,32,31,2590,5,3,2,1,6.9,3.1,98,79,216,0.17,0.1,0.24,0.11,N/a,N/a,N/a,N/a,28.0,0.73,0.07,16.0,715,83.6,1800,90.5,88.9,68.2,31,46,29,15,107,3.72,10,0.35,38,23,27,17,24,1,23,4,1274,13,171,536,612,127,208,44.2,47.1,842,2613,59,42,77,93,989,39,64,18,81,138,11,40,21.6,€63.9M,2
Dejan Kulusevski,se SWE,Tottenham,MFFW,24,32,27,2389,7,4,3,0,4.2,6.2,120,124,210,0.26,0.15,0.16,0.23,N/a,N/a,N/a,N/a,36.2,0.64,0.15,14.7,658,73.7,2920,86.2,78.1,40.5,65,62,52,6,128,4.82,9,0.34,45,23,51,32,34,5,29,13,1276,24,149,432,719,158,117,32.5,60.7,823,3208,67,40,77,74,895,48,38,5,89,121,10,15,40.0,€60.3M,2
Noni Madueke,eng ENG,Chelsea,FW,22,32,27,2033,7,3,3,0,9.6,4.2,154,69,226,0.31,0.13,0.43,0.19,N/a,N/a,N/a,N/a,37.5,1.33,0.09,14.4,530,77.4,1853,86.2,76.3,53.7,32,16,35,8,79,3.5,8,0.35,25,18,38,24,17,0,17,10,980,22,101,301,595,184,102,44.1,45.1,641,3485,50,93,52,25,756,22,25,5,63,84,11,19,36.7,€52.3M,2
Omar Marmoush,eg EGY,Manchester City,FWMF,25,16,14,1175,7,0,0,0,5.5,2.8,29,37,78,0.54,0.0,0.42,0.21,N/a,N/a,N/a,N/a,34.7,1.3,0.14,18.6,252,79.2,849,85.0,78.4,56.3,15,10,29,4,39,2.99,2,0.15,13,8,16,8,15,1,14,6,504,6,34,152,326,68,46,43.5,45.7,320,960,20,15,45,19,361,15,20,10,28,37,5,11,31.3,€79.1M,2
Gabriel Martinelli,br BRA,Arsenal,FWMF,23,33,25,2290,8,4,1,0,7.4,5.0,124,52,289,0.31,0.16,0.29,0.19,N/a,N/a,N/a,N/a,43.6,0.94,0.15,12.9,499,71.4,1534,84.2,69.9,50.0,40,11,37,15,74,2.91,7,0.27,23,15,23,16,15,0,15,5,994,17,102,247,660,182,109,30.3,55.0,670,2620,33,64,50,38,752,16,21,8,92,78,17,39,30.4,€44.1M,2
Jean-Philippe Mateta,fr FRA,Crystal Palace,FW,27,37,33,2648,14,2,2,0,13.5,3.2,45,52,122,0.48,0.07,0.46,0.11,N/a,N/a,N/a,N/a,42.6,0.99,0.18,15.6,291,65.1,1016,75.9,63.8,30.4,29,34,16,2,65,2.21,10,0.34,18,12,16,13,19,4,15,2,739,26,64,350,340,94,46,43.5,47.8,400,1048,22,10,72,45,539,27,28,21,26,68,63,107,37.1,€31.7M,2
Bryan Mbeumo,cm CMR,Brentford,FW,24,38,38,3414,20,7,3,0,12.3,8.3,130,141,351,0.53,0.18,0.32,0.22,N/a,N/a,N/a,N/a,43.0,0.9,0.19,17.9,872,66.1,4325,79.1,71.0,37.2,70,63,59,19,144,3.8,20,0.53,49,31,35,14,26,3,23,14,1781,62,246,567,998,168,111,46.8,42.3,1077,3519,69,75,106,47,1204,25,44,11,202,156,34,74,31.5,€57.6M,2
Yankuba Minteh,gm GAM,Brighton,FWMF,20,32,20,1838,6,4,6,0,4.1,5.0,90,48,201,0.29,0.2,0.2,0.24,N/a,N/a,N/a,N/a,47.1,0.78,0.18,13.8,348,62.5,1843,77.8,62.2,46.3,29,14,36,9,64,3.14,13,0.64,48,35,45,28,22,0,22,11,836,30,135,228,491,146,98,46.9,43.9,481,2105,24,67,53,28,511,21,11,6,91,85,17,34,33.3,€42.6M,2
Kaoru Mitoma,jp JPN,Brighton,FWMF,27,36,28,2603,10,4,1,0,9.2,4.6,146,89,291,0.35,0.14,0.32,0.16,N/a,N/a,N/a,N/a,47.4,0.93,0.18,13.9,749,75.8,2226,87.2,71.3,44.2,37,36,36,8,87,3.01,10,0.35,45,27,49,30,48,3,45,14,1375,17,155,468,782,164,131,39.7,56.5,830,3906,82,56,53,23,966,40,24,5,75,99,26,27,49.1,€49.2M,2
Daniel Muñoz,co COL,Crystal Palace,DF,28,37,37,3228,4,5,10,0,4.9,5.5,62,97,206,0.11,0.14,0.14,0.15,N/a,N/a,N/a,N/a,37.8,0.39,0.11,12.7,1129,75.7,5219,85.7,77.0,44.4,46,59,35,15,85,2.37,11,0.31,123,80,97,42,40,6,34,44,2010,119,568,826,637,107,56,37.5,58.9,806,1797,40,18,55,20,956,56,19,15,74,171,58,78,42.6,€28.9M,2
